iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,F,NR,AL	0 	2 	0 	1 	2 	3 	5 	3 	4 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,AT	6 	4 	2 	2 	2 	4 	4 	4 	5 	4 	3 	3 	3 	6 
ICCS0101,PER_CNV,F,NR,BA	4 	7 	2 	5 	14 	8 	11 	14 	24 	6 	6 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,BE	: 	: 	13 	8 	14 	11 	12 	20 	22 	21 	33 	24 	: 	: 
ICCS0101,PER_CNV,F,NR,BG	6 	2 	2 	10 	2 	5 	5 	8 	11 	10 	7 	13 	9 	9 
ICCS0101,PER_CNV,F,NR,CH	2 	1 	3 	5 	4 	5 	5 	1 	4 	5 	7 	7 	7 	5 
ICCS0101,PER_CNV,F,NR,CY	: 	: 	0 	0 	3 	0 	0 	0 	0 	1 	0 	2 	0 	1 
ICCS0101,PER_CNV,F,NR,CZ	17 	20 	12 	16 	13 	17 	14 	21 	18 	13 	23 	19 	11 	15 
ICCS0101,PER_CNV,F,NR,DE	28 	34 	29 	35 	40 	31 	36 	33 	29 	29 	39 	38 	48 	: 
ICCS0101,PER_CNV,F,NR,DK	3 	3 	1 	4 	3 	4 	3 	6 	4 	3 	2 	6 	1 	1 
ICCS0101,PER_CNV,F,NR,EE	1 	1 	1 	2 	7 	2 	4 	4 	8 	3 	2 	3 	: 	: 
ICCS0101,PER_CNV,F,NR,EL	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,ES	28 	25 	19 	14 	23 	27 	29 	20 	11 	9 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,FI	8 	9 	8 	6 	4 	4 	8 	7 	14 	7 	13 	7 	14 	7 
ICCS0101,PER_CNV,F,NR,FR	36 	29 	32 	37 	38 	44 	36 	35 	31 	34 	57 	80 	68 	80 
ICCS0101,PER_CNV,F,NR,HR	7 	7 	7 	2 	9 	9 	1 	2 	8 	6 	5 	3 	4 	1 
ICCS0101,PER_CNV,F,NR,HU	6 	10 	14 	12 	24 	20 	10 	31 	20 	12 	19 	18 	27 	27 
ICCS0101,PER_CNV,F,NR,IS	: 	0 	: 	: 	: 	0 	1 	: 	0 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,IT	: 	: 	: 	24 	24 	29 	28 	15 	22 	13 	15 	25 	19 	16 
ICCS0101,PER_CNV,F,NR,LT	7 	8 	10 	16 	13 	12 	10 	20 	22 	23 	18 	16 	12 	23 
ICCS0101,PER_CNV,F,NR,LU	0 	1 	0 	0 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,F,NR,LV	11 	6 	3 	12 	8 	9 	10 	13 	18 	7 	6 	13 	6 	8 
ICCS0101,PER_CNV,F,NR,ME	3 	2 	2 	0 	0 	1 	1 	2 	5 	0 	0 	0 	0 	: 
ICCS0101,PER_CNV,F,NR,MK	: 	: 	: 	: 	: 	: 	: 	1 	2 	2 	2 	2 	2 	1 
ICCS0101,PER_CNV,F,NR,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
